Channel, Network, Users   # stats collected at 2019-05-05 14:23 
#archlinux, Freenode, 1784
#ubuntu, Freenode, 1526
#debian, Freenode, 1486
#gentoo, Freenode, 1104
#nixos, Freenode, 883
#freebsd, Freenode, 810
#openbsd, Freenode, 775
#fedora, Freenode, 712
#pfsense, Freenode, 615
#centos, Freenode, 595
#freenas, Freenode, 331
#alpine-linux, Freenode, 320
#rhel, Freenode, 303
#linuxmint-help, SpotChat, 276
#devuan, Freenode, 274
#NetBSD, Freenode, 269
#voidlinux, Freenode, 245
#guix, Freenode, 245
##proxmox, Freenode, 235
#suse, Freenode, 230
#qubes_os, Freenode, 223
#kubuntu, Freenode, 210
##slackware, Freenode, 200
#raspbian, Freenode, 198
#kali-linux, Freenode, 182
#illumos, Freenode, 173
#manjaro, Freenode, 164
#haiku, Freenode, 160
#smartos, Freenode, 148
#coreos, Freenode, 134
#kde-neon, Freenode, 125
#OPNsense, Freenode, 122
#libreelec, Freenode, 116
#funtoo, Freenode, 112
#xubuntu, Freenode, 111
#reactos, Freenode, 108
#freeswitch, Freenode, 104
#vyos, Freenode, 97
#dragonflybsd, EFNet, 96
#omnios, Freenode, 90
#antergos, Freenode, 83
#lubuntu, Freenode, 77
#calculate, Freenode, 74
#exherbo, Freenode, 70
#blackarch, Freenode, 68
#retropie, Freenode, 67
#minix, Freenode, 58
#sabayon, Freenode, 58
#openindiana, Freenode, 56
#ubuntu-mate, Freenode, 50
#galliumos, Freenode, 47
#elementary, Freenode, 47
#mageia, Freenode, 45
#trisquel, Freenode, 41
#ubuntustudio, Freenode, 34
#opensolaris, Freenode, 34
#puppylinux, Freenode, 30
#android-x86, Freenode, 28
#openmandriva, Freenode, 27
#chakra, Freenode, 23
#hyperbola, Freenode, 23
#deepin, Freenode, 21
#mirbsd, Freenode, 20
#ubuntu-budgie, Freenode, 19
#parrotsec, Freenode, 19
#clonezilla, Freenode, 18
#kaosx, Freenode, 15
#aptosid, OFTC, 14
#bodhi, Freenode, 13
#elive, Freenode, 12
#steamOS, Freenode, 12
#antiX, Freenode, 11
#korora, Freenode, 8
#redcorelinux, Freenode, 7
#ZorinOS, Freenode, 7
#PCLinuxOS, Freenode, 6
#endless, Freenode, 6
#knoppix, Freenode, 5
#nutyx, Freenode, 4
#archbang, Freenode, 4
##slax, Freenode, 4
#lakka, Freenode, 4
#UltimateEdition, Freenode, 4
#vectorlinux, Freenode, 4
#archlabslinux, Freenode, 3
